# Словарь для генератора кроссвордов
# Формат: СЛОВО|Вопрос (по одному слову в строке)
# Строки, начинающиеся с #, и пустые строки игнорируются.
# Слова должны быть на русском, без пробелов и дефисов.

КОМПЬЮТЕР|Электронное устройство для обработки данных
ПРОГРАММА|Набор инструкций для компьютера
КЛАВИАТУРА|Устройство ввода с клавишами
МОНИТОР|Экран компьютера
ПРИНТЕР|Устройство для печати документов
ИНТЕРНЕТ|Всемирная компьютерная сеть
БРАУЗЕР|Программа для просмотра веб-страниц
ФАЙЛ|Именованная область данных на носителе
ПАПКА|Контейнер для группировки файлов
АЛГОРИТМ|Последовательность действий для решения задачи

КОТ|Домашнее животное, которое мурлычет
СОБАКА|Друг человека, лает
ЛОШАДЬ|Животное, на котором ездят верхом
СЛОН|Самое крупное наземное млекопитающее
ТИГР|Полосатый хищник из семейства кошачьих
МЕДВЕДЬ|Бурый или белый лесной хищник

СОЛНЦЕ|Звезда нашей системы
ЛУНА|Естественный спутник Земли
ЗВЕЗДА|Светящееся небесное тело
ПЛАНЕТА|Небесное тело, вращающееся вокруг звезды
ЗЕМЛЯ|Третья планета от Солнца
МАРС|Красная планета
ВЕНЕРА|Вторая планета от Солнца
КОМЕТА|Небесное тело с хвостом

РЕКА|Естественный поток воды
ОЗЕРО|Природный пресный водоём
МОРЕ|Большой водоём с солёной водой
ОКЕАН|Самый большой водоём на планете
ГОРА|Природное возвышение
ЛЕС|Множество деревьев
ПОЛЕ|Открытое пространство для посевов

КНИГА|Сборник печатных листов
РУЧКА|Инструмент для письма
ТЕТРАДЬ|Сшитые листы для записей
УЧЕНИК|Тот, кто учится в школе
УЧИТЕЛЬ|Преподаватель в школе
ШКОЛА|Учебное заведение
УРОК|Учебное занятие

СТУЛ|Мебель для сидения со спинкой
СТОЛ|Мебель с горизонтальной поверхностью
ДВЕРЬ|Створка для входа в помещение
ОКНО|Проём в стене для света
КОМНАТА|Помещение в доме

МАШИНА|Самоходное средство передвижения
ПОЕЗД|Состав вагонов на рельсах
САМОЛЁТ|Летательный аппарат с крыльями
КОРАБЛЬ|Большое судно для плавания

ЯБЛОКО|Сочный плод с дерева
БАНАН|Жёлтый тропический фрукт
АПЕЛЬСИН|Оранжевый цитрусовый фрукт
АРБУЗ|Большая полосатая сладкая ягода
МОРКОВЬ|Оранжевый корнеплод
